,Title,Genre,Premiere,Runtime,IMDB.Score,Language,origLang
305,My Own Man,Documentary,12/13/2014,81,6.4,English,English
520,The Other One: The Long Strange Trip of Bob Weir,Documentary,5/22/2015,83,7.3,English,English
229,Hot Girls Wanted,Documentary,5/29/2015,84,6.1,English,English
551,"What Happened, Miss Simone?",Documentary,6/26/2015,84,7.6,English,English
532,Tig,Documentary,7/17/2015,80,7.4,English,English
466,Keith Richards: Under the Influence,Documentary,9/18/2015,81,7.1,English,English
581,Winter on Fire: Ukraine's Fight for Freedom,Documentary,10/09/2015,91,8.4,Other,English/Ukranian/Russian
554,Beasts of No Nation,Action,10/16/2015,136,7.7,Other,English/Akan
108,A Very Murray Christmas,Musical,12/04/2015,56,5.5,English,English
50,The Ridiculous 6,Action,12/11/2015,119,4.8,English,English
233,Pee-wee's Big Holiday,Action,3/18/2016,89,6.1,English,English
469,My Beautiful Broken Brain,Documentary,3/18/2016,91,7.1,English,English
183,Special Correspondents,Other,4/29/2016,100,5.8,English,English
516,Team Foxcatcher,Documentary,4/29/2016,90,7.3,Other,English/Russian
156,The Do-Over,Action,5/27/2016,108,5.7,English,English
519,The Fundamentals of Caring,Comedy,6/24/2016,97,7.3,English,English
128,Brahman Naman,Comedy,07/07/2016,95,5.6,English,English
58,Rebirth,Horror/Thriller,7/15/2016,100,5,English,English
388,Tony Robbins: I Am Not Your Guru,Documentary,7/15/2016,116,6.7,English,English
386,Tallulah,Comedy,7/29/2016,111,6.7,English,English
352,I'll Sleep When I'm Dead,Documentary,8/19/2016,79,6.6,English,English
94,XOXO,Drama,8/26/2016,92,5.3,English,English
502,Extremis,Documentary,9/13/2016,24,7.3,English,English
295,ARQ,Sci-Fi/Fantasy,9/16/2016,88,6.4,English,English
542,The White Helmets,Documentary,9/16/2016,40,7.5,English,English
481,Audrie & Daisy,Documentary,9/23/2016,98,7.2,English,English
415,Amanda Knox,Documentary,9/30/2016,92,6.9,English,English
498,The Siege of Jadotville,Action,10/07/2016,108,7.2,English,English
572,13th,Documentary,10/07/2016,100,8.2,English,English
558,Justin Timberlake + The Tennessee Kids,Musical,10/12/2016,90,7.7,English,English
175,Mascots,Other,10/13/2016,95,5.8,English,English
515,Sky Ladder: The Art of Cai Guo-Qiang,Documentary,10/14/2016,79,7.3,Mandarin,English/Mandarin
32,I Am the Pretty Thing That Lives in the House,Horror/Thriller,10/28/2016,89,4.6,English,English
391,7 años,Drama,10/28/2016,76,6.8,Spanish,Spanish
484,Into the Inferno,Documentary,10/28/2016,107,7.2,English,English
567,The Ivory Game,Documentary,11/04/2016,112,7.9,English,English
206,True Memoirs of an International Assassin,Action,11/11/2016,98,5.9,English,English
15,Mercy,Horror/Thriller,11/22/2016,90,4.2,English,English
282,Spectral,Sci-Fi/Fantasy,12/09/2016,108,6.3,English,English
167,Barry,Biopic,12/16/2016,104,5.8,English,English
45,Coin Heist,Action,01/06/2017,97,4.8,English,English
61,Clinical,Horror/Thriller,1/13/2017,104,5.1,English,English
48,Take the 10,Comedy,1/20/2017,80,4.8,English,English
452,13th: A Conversation with Oprah Winfrey & Ava DuVernay,Other,1/26/2017,36,7.1,English,English
210,iBoy,Sci-Fi/Fantasy,1/27/2017,90,6,English,English
377,Imperial Dreams,Drama,02/03/2017,87,6.7,English,English
381,"Michael Bolton's Big, Sexy, Valentine's Day Special",Other,02/07/2017,54,6.7,English,English
73,Girlfriend's Day,Comedy,2/14/2017,70,5.2,English,English
419,I Don't Feel at Home in This World Anymore,Drama,2/24/2017,96,6.9,English,English
223,Burning Sands,Drama,03/10/2017,102,6.1,English,English
225,Deidra & Laney Rob a Train,Drama,3/17/2017,94,6.1,English,English
240,The Most Hated Woman in America,Biopic,3/24/2017,92,6.1,English,English
284,The Discovery,Sci-Fi/Fantasy,3/31/2017,102,6.3,English,English
262,Win It All,Comedy,04/07/2017,88,6.2,English,English
78,Sandy Wexler,Comedy,4/14/2017,131,5.2,English,English
280,Sand Castle,Action,4/21/2017,113,6.3,English,English
345,Tramps,Romance,4/21/2017,83,6.5,English,English
180,Rodney King,Other,4/28/2017,52,5.8,English,English
182,Small Crimes,Comedy,4/28/2017,95,5.8,English,English
224,Casting JonBenet,Documentary,4/28/2017,80,6.1,English,English
74,Handsome: A Netflix Mystery Movie,Comedy,05/05/2017,81,5.2,English,English
313,The Mars Generation,Documentary,05/05/2017,97,6.4,English,English
504,Get Me Roger Stone,Documentary,05/12/2017,101,7.3,English,English
420,Laerte-se,Documentary,5/19/2017,100,6.9,Portuguese,Portuguese
369,Blame!,Animation,5/20/2017,106,6.7,Japanese,Japanese
220,War Machine,Action,5/26/2017,122,6,English,English
465,Joshua: Teenager vs. Superpower,Documentary,5/26/2017,78,7.1,English,English
281,Shimmer Lake,Action,06/09/2017,86,6.3,English,English
371,CounterPunch ,Documentary,6/16/2017,91,6.7,English,English
340,Nobody Speak: Trials of the Free Press,Documentary,6/23/2017,95,6.5,English,English
508,Okja,Action,6/28/2017,121,7.3,Korean,English/Korean
412,To the Bone,Drama,7/14/2017,107,6.8,English,English
569,Chasing Coral ,Documentary,7/14/2017,89,8.1,English,English
343,The Incredible Jessica James,Comedy,7/28/2017,83,6.5,English,English
565,Icarus,Documentary,08/04/2017,120,7.9,English,English
104,Naked,Comedy,08/11/2017,96,5.4,English,English
